qty,price,day1,day2,day3,day4,day5,day6,day7,date
1,1.200,0,0,0,0,0,1,0,2022-08-06
2,1.200,0,0,0,0,0,1,0,2022-08-06
2,1.200,0,0,0,0,0,1,0,2022-08-06
2,1.200,0,0,0,0,0,1,0,2022-08-06
1,1.200,0,0,0,0,0,1,0,2022-08-06
2,1.200,0,0,0,0,0,1,0,2022-08-06
2,1.200,0,0,0,0,0,1,0,2022-08-06
1,1.200,0,0,0,0,0,1,0,2022-08-06
2,1.200,0,0,0,0,0,1,0,2022-08-06
1,1.200,0,0,0,0,0,1,0,2022-08-06
1,1.200,0,0,0,0,0,1,0,2022-08-06
1,1.200,0,0,0,0,0,1,0,2022-08-06
8,1.200,0,0,0,0,0,1,0,2022-08-06
2,1.200,0,0,0,0,0,1,0,2022-08-06
1,1.200,0,0,0,0,0,1,0,2022-08-06
1,1.200,0,0,0,0,0,1,0,2022-08-06
1,1.200,0,0,0,0,0,1,0,2022-08-06
2,1.200,0,0,0,0,0,1,0,2022-08-06
1,1.200,0,0,0,0,0,1,0,2022-08-06
1,1.200,0,0,0,0,0,1,0,2022-08-06
2,1.200,0,0,0,0,0,1,0,2022-08-06
2,1.200,0,0,0,0,0,1,0,2022-08-06
1,1.200,0,0,0,0,0,1,0,2022-08-06
1,1.200,0,0,0,0,0,1,0,2022-08-06
1,1.200,0,0,0,0,0,1,0,2022-08-06
2,1.200,0,0,0,0,0,1,0,2022-08-06
1,1.200,0,0,0,0,0,1,0,2022-08-06
1,1.200,0,0,0,0,0,1,0,2022-08-06
2,1.200,0,0,0,0,0,1,0,2022-08-06
1,1.200,0,0,0,0,0,1,0,2022-08-06
1,1.200,0,0,0,0,0,1,0,2022-08-06
2,1.200,0,0,0,0,0,1,0,2022-08-06
1,1.200,0,0,0,0,0,1,0,2022-08-06
1,1.200,0,0,0,0,0,1,0,2022-08-06
1,1.200,0,0,0,0,0,1,0,2022-08-06
4,1.200,0,0,0,0,0,1,0,2022-08-06
1,1.200,0,0,0,0,0,1,0,2022-08-06
1,1.200,0,0,0,0,0,1,0,2022-08-06
2,1.200,0,0,0,0,0,1,0,2022-08-06
1,1.200,0,0,0,0,0,1,0,2022-08-06
3,1.200,0,0,0,0,0,1,0,2022-08-06
1,1.200,0,0,0,0,0,1,0,2022-08-06
2,1.200,0,0,0,0,0,1,0,2022-08-06
3,1.200,0,0,0,0,0,1,0,2022-08-06
2,1.200,0,0,0,0,0,1,0,2022-08-06
1,1.200,0,0,0,0,0,1,0,2022-08-06
2,1.200,0,0,0,0,0,1,0,2022-08-06
1,1.200,0,0,0,0,0,1,0,2022-08-06
1,1.200,0,0,0,0,0,1,0,2022-08-06
2,1.200,0,0,0,0,0,1,0,2022-08-06
3,1.200,0,0,0,0,0,1,0,2022-08-06
2,1.200,0,0,0,0,0,1,0,2022-08-06
1,1.200,0,0,0,0,0,1,0,2022-08-06
1,1.200,0,0,0,0,0,1,0,2022-08-06
1,1.200,0,0,0,0,0,1,0,2022-08-06
2,1.200,0,0,0,0,0,1,0,2022-08-06
